registration_year,year,unique_learners,percentage_retention
2012-13,2012-13,192255,100.0
2012-13,2013-14,72093,37.5
2012-13,2014-15,46494,24.18
2012-13,2015-16,36089,18.77
2012-13,2016-17,21690,11.28
2012-13,2017-18,15059,7.83
2013-14,2013-14,755800,100.0
2013-14,2014-15,205814,27.23
2013-14,2015-16,146713,19.41
2013-14,2016-17,76780,10.16
2013-14,2017-18,51996,6.88
2014-15,2014-15,630992,100.0
2014-15,2015-16,145499,23.06
2014-15,2016-17,60971,9.66
2014-15,2017-18,38530,6.11
2015-16,2015-16,1108858,100.0
2015-16,2016-17,129562,11.68
2015-16,2017-18,92977,8.38
2016-17,2016-17,531213,100.0
2016-17,2017-18,53030,9.98
2017-18,2017-18,499736,100.0
