course_id,semester,year
HarvardX/1368.1x/3T2014,Fall 2014,Year 3
HarvardX/1368.1x/2T2016,Fall 2015,Year 4
HarvardX/1368.2x/2T2015,Fall 2014,Year 3
HarvardX/1368.2x/2T2016,Fall 2015,Year 4
HarvardX/1368.3x/2T2015,Spring 2015,Year 3
HarvardX/1368.3x/2T2016,Fall 2015,Year 4
HarvardX/1368.4x/2T2015,Spring 2015,Year 3
HarvardX/1368.4x/2T2016,Fall 2015,Year 4
HarvardX/1368x/2T2017,Summer 2017,Year 6
HarvardX/AI12.1x/2013_SOND,Fall 2013,Year 2
HarvardX/AI12.2x/2013_SOND,Fall 2013,Year 2
HarvardX/AmPoX.1/2014_T3,Fall 2014,Year 3
HarvardX/AmPoX.1/3T2017,Fall 2017,Year 6
HarvardX/AmPoX.2/2014_T3,Fall 2014,Year 3
HarvardX/AmPoX.2/3T2017,Fall 2017,Year 6
HarvardX/AmPoX.3/1T2015,Spring 2015,Year 3
HarvardX/AmPoX.3/3T2017,Fall 2017,Year 6
HarvardX/AmPoX.4/1T2015,Spring 2015,Year 3
HarvardX/AmPoX.4/2T2017,Fall 2017,Year 6
HarvardX/AmPoX.5/2T2015,Spring 2015,Year 3
HarvardX/AmPoX.5/3T2017,Fall 2017,Year 6
HarvardX/AmPoX.6/2T2016,Spring 2016,Year 4
HarvardX/AmPoX.6/3T2017,Fall 2017,Year 6
HarvardX/AT1x/2T2014,Fall 2014,Year 3
HarvardX/BUS5.1x/1T2014,Spring 2014,Year 2
HarvardX/BUS5.1x/3T2015,Spring 2015,Year 3
HarvardX/CalcAPL1x/2T2017,Fall 2017,Year 6
HarvardX/CB22.1x/2013_SOND,Fall 2013,Year 2
HarvardX/CB22x/2013_Spring,Spring 2013,Year 1
HarvardX/CHEM160/1T2017,Summer 2017,Year 6
HarvardX/CHN12x/3T2017,Fall 2017,Year 6
HarvardX/CS50/X,Spring 2016,Year 4
HarvardX/CS50/AP,Summer 2016,Year 5
HarvardX/CS50B/Business,Spring 2018,Year 6
HarvardX/CS50T/Technology,Spring 2018,Year 6
HarvardX/CS50x/2014_T1,Fall 2013,Year 2
HarvardX/CS50x3/2015,Spring 2015,Year 3
HarvardX/EMC2x/1T2015,Spring 2015,Year 3
HarvardX/EMC2x/2T2016,Spring 2016,Year 4
HarvardX/ENGSCI137x/2T2016,Summer 2016,Year 5
HarvardX/ENGSCI137x/1T2018,Spring 2018,Year 6
HarvardX/ER22.1x/1T2014,Spring 2014,Year 2
HarvardX/ER22.1x/2015T3,Fall 2015,Year 4
HarvardX/ER22.1x/2T2017,Summer 2017,Year 6
HarvardX/ER22.1x/1T2018,Spring 2018,Year 6
HarvardX/ER22x/2013_Spring,Spring 2013,Year 1
HarvardX/GSD1x/1T2017,Spring 2017,Year 5
HarvardX/GSE1.1x/3T2014,Fall 2014,Year 3
HarvardX/GSE1x/2014_JFMA,Spring 2014,Year 2
HarvardX/GSE2x/2T2014,Summer 2014,Year 3
HarvardX/GSE2x/1T2016,Spring 2016,Year 4
HarvardX/GSE2x/2T2017,Spring 2017,Year 5
HarvardX/GSE3x/1T2015,Spring 2015,Year 3
HarvardX/GSE3x/2T2016,Spring 2016,Year 4
HarvardX/GSE4x/2T2016,Summer 2016,Year 5
HarvardX/HAA1x/1T2014,Spring 2014,Year 2
HarvardX/HDS1544.1x/2013_SOND,Fall 2013,Year 2
HarvardX/HDS2825x/1T2018,Spring 2018,Year 6
